appid,player_id,game_name,play_time,genres,categories,currency,initial_price,final_price,discount_percent
367520,0,Hollow Knight,219,"['Action', 'Adventure', 'Indie']","['Family Sharing', 'Full controller support', 'Remote Play on Phone', 'Remote Play on TV', 'Remote Play on Tablet', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",EUR,1479,1479,0
371460,0,Gnumz: Masters of Defense,156,"['Action', 'Adventure', 'Casual', 'RPG', 'Simulation', 'Sports', 'Strategy']","['Family Sharing', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,429,64,85
371510,0,Gunnheim,122,"['Action', 'Indie']","['Co-op', 'Cross-Platform Multiplayer', 'Family Sharing', 'Multi-player', 'Partial Controller Support', 'Remote Play Together', 'Shared/Split Screen', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,699,699,0
371570,0,Tap Heroes,211,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']","['Family Sharing', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,249,249,0
371620,0,SBX: Invasion,0,"['Action', 'Indie', 'Strategy']","['Family Sharing', 'Single-player']",GBP,159,159,0
371670,0,Rolling Sun,124,"['Adventure', 'Indie', 'Strategy']","['Commentary available', 'Family Sharing', 'Full controller support', 'Single-player', 'Steam Trading Cards']",GBP,159,159,0
371890,0,Gunslugs,244,"['Action', 'Indie']","['Co-op', 'Family Sharing', 'Full controller support', 'Multi-player', 'Remote Play Together', 'Shared/Split Screen', 'Shared/Split Screen Co-op', 'Single-player', 'Steam Achievements', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,449,449,0
371970,0,Barony,100,"['Action', 'Adventure', 'Indie', 'RPG']","['Co-op', 'Cross-Platform Multiplayer', 'Family Sharing', 'Full controller support', 'Includes level editor', 'LAN Co-op', 'Multi-player', 'Online Co-op', 'Remote Play Together', 'Shared/Split Screen', 'Shared/Split Screen Co-op', 'Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']",GBP,1675,1675,0
372000,0,Tree of Savior (English Ver.),0,"['Free To Play', 'Massively Multiplayer', 'RPG']","['In-App Purchases', 'MMO', 'Multi-player', 'Partial Controller Support', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",0,0,0,0
374320,0,DARK SOULS™ III,249,['Action'],"['Co-op', 'Family Sharing', 'Full controller support', 'Multi-player', 'Remote Play on Phone', 'Remote Play on TV', 'Remote Play on Tablet', 'Single-player', 'Steam Achievements', 'Steam Trading Cards']",NOK,59900,59900,0
379720,0,DOOM,440,['Action'],"['Co-op', 'Family Sharing', 'Multi-player', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",BRL,6150,6150,0
385950,0,Infection: Humanity's Last Gasp,285,"['Casual', 'Strategy']","['Family Sharing', 'Single-player', 'Steam Achievements', 'Steam Trading Cards']",USD,999,999,0
386070,0,Planetary Annihilation: TITANS,0,"['Action', 'Indie', 'Strategy']","['Co-op', 'Cross-Platform Multiplayer', 'LAN Co-op', 'LAN PvP', 'Multi-player', 'Online Co-op', 'Online PvP', 'PvP', 'Single-player', 'Steam Achievements']",USD,2999,2999,0
388800,0,Azure Striker Gunvolt,129,"['Action', 'Indie']","['Family Sharing', 'Partial Controller Support', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Trading Cards']",CAD,1699,1699,0
388880,0,Oxenfree,136,"['Adventure', 'Indie']","['Captions available', 'Family Sharing', 'Full controller support', 'Remote Play on TV', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",CAD,1299,1299,0
397040,0,Sphere 3,0,"['Action', 'Free To Play', 'Massively Multiplayer', 'RPG']","['In-App Purchases', 'MMO', 'Multi-player', 'Steam Trading Cards']",0,0,0,0
397060,0,Faeria,0,"['Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Strategy']","['Co-op', 'Family Sharing', 'In-App Purchases', 'Multi-player', 'Online Co-op', 'Online PvP', 'PvP', 'Single-player', 'Steam Achievements', 'Steam Trading Cards']",EUR,1950,1950,0
410770,0,Roads of Rome,0,"['Adventure', 'Casual', 'Simulation', 'Strategy']","['Family Sharing', 'Single-player']",GBP,279,279,0
410820,0,Starward Rogue,232,"['Action', 'Indie']","['Family Sharing', 'Full controller support', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,999,999,0
410830,0,ARENA GODS,0,"['Action', 'Early Access', 'Indie', 'Sports', 'Violent']","['Family Sharing', 'Full controller support', 'Multi-player', 'PvP', 'Remote Play Together', 'Shared/Split Screen', 'Shared/Split Screen PvP', 'Single-player', 'Steam Achievements']",GBP,1139,1139,0
